date,lstm_forecast,kmeans_forecast
2026-09-23,77415.445,86922.44551005743
2026-09-24,77829.16,86681.28807992671
2026-09-25,76508.54,86440.13064979602
2026-09-26,76020.85,86198.97321966532
2026-09-27,76306.66,85957.81578953461
2026-09-28,76655.26,85716.65835940391
2026-09-29,76420.81,85475.5009292732
